0,1,2,3,4,5,6,7
海德公馆新出装修好大金空调新风系 楼龄新 采光好,3室2厅,106.09平米,18664,198.0,0,10天以前发布,https://jn.lianjia.com/ershoufang/103129782534.html
二环内精装婚房 好楼层采光好无遮挡 拎包入住,3室2厅,106.74平米,17426,186.0,0,12天以前发布,https://jn.lianjia.com/ershoufang/103129753540.html
物业严谨，涵盖健康呼吸，健康膳食，健康饮水健康运动,3室2厅,114.84平米,11756,135.0,0,13天以前发布,https://jn.lianjia.com/ershoufang/103129735404.html
诚心出售，精装修，中高楼层，无遮挡,3室2厅,95.48平米,14140,135.0,0,4天以前发布,https://jn.lianjia.com/ershoufang/103129891749.html
位置好，视野开阔，采光充足，诚意出售,4室1厅,163.83平米,16969,278.0,7,13天以前发布,https://jn.lianjia.com/ershoufang/103129735988.html
CBD旁 万科城精装三居室 拎包入住 随时看房,3室1厅,114.02平米,21488,245.0,1,13天以前发布,https://jn.lianjia.com/ershoufang/103129741771.html
绿化40以上，中间楼层，采光好视野也不错，诚心卖,3室2厅,128.71平米,22221,286.0,0,14天以前发布,https://jn.lianjia.com/ershoufang/103129714591.html
此房精装两室 保养好 视野开阔 前无遮挡,2室2厅,83.25平米,13094,109.0,0,9天以前发布,https://jn.lianjia.com/ershoufang/103129811573.html
龙湖春江悦茗 3室2厅 南 北,3室2厅,120.91平米,15632,189.0,1,14天以前发布,https://jn.lianjia.com/ershoufang/103129716463.html
单价八千 房龄新 低楼层 带地下室,2室2厅,83.04平米,8430,70.0,0,2天以前发布,https://jn.lianjia.com/ershoufang/103129917844.html
绿地城一期新上三居室   满二 有钥匙 随时看房,3室2厅,117.14平米,11824,138.5,0,14天以前发布,https://jn.lianjia.com/ershoufang/103129720878.html
位于唐冶片区，水发集团、经十路旁、交通便利，,4室2厅,178.78平米,12026,215.0,6,5个月以前发布,https://jn.lianjia.com/ershoufang/103126439359.html
满两年，户型方正，精装修，交通便利 ，配套齐全,3室1厅,105.95平米,11232,119.0,1,8天以前发布,https://jn.lianjia.com/ershoufang/103129823369.html
价格可谈 靠谱出售 非顶楼 采光视野好 精装小三室,3室1厅,94.29平米,15060,142.0,0,5天以前发布,https://jn.lianjia.com/ershoufang/103129864797.html
汉峪金谷 软件园旁 靠山洋房 公摊16% 一梯两户带小院,3室2厅,94.61平米,29596,280.0,0,5天以前发布,https://jn.lianjia.com/ershoufang/103129864097.html
新出凤凰国际精装大平层拎包入住，业主离济诚意出售,3室2厅,133.91平米,19790,265.0,1,7天以前发布,https://jn.lianjia.com/ershoufang/103129836635.html
正规的一室一厅+采光好+满二年+有小房+总价低,1室1厅,42.09平米,8791,37.0,2,15天以前发布,https://jn.lianjia.com/ershoufang/103129700590.html
经五路陪读  老商埠 大观园  万达商圈 精装双气齐全,4室1厅,132.23平米,12857,170.0,5,14天以前发布,https://jn.lianjia.com/ershoufang/103129718484.html
经五路 中间楼层  随时看房 交通便利,1室0厅,38.18平米,41907,160.0,0,6天以前发布,https://jn.lianjia.com/ershoufang/103129853542.html
恒大精装三室楼间距大 步行印象济南 弘扬广场 BRT公交,3室2厅,93.78平米,11730,110.0,0,12天以前发布,https://jn.lianjia.com/ershoufang/103129751370.html
精装修空置  采光无遮挡 诚意出售,3室2厅,134.64平米,26738,360.0,1,14天以前发布,https://jn.lianjia.com/ershoufang/103129719096.html
金科城 3室2厅 南 北,3室2厅,103.9平米,10106,105.0,0,8天以前发布,https://jn.lianjia.com/ershoufang/103129815958.html
店长介绍+军休四所+大院传达+停车方便+带储物间+好房,3室1厅,75.54平米,11253,85.0,1,14天以前发布,https://jn.lianjia.com/ershoufang/103129718371.html
店长介绍+舜耕山庄+电梯房+山景房+诚意卖+好房出售,4室3厅,270.39平米,19972,540.0,1,9天以前发布,https://jn.lianjia.com/ershoufang/103129799188.html
新上房源！高楼层采光视野好，精装修拎包入住。,2室2厅,81.83平米,12954,106.0,10,12天以前发布,https://jn.lianjia.com/ershoufang/103129744587.html
店长介绍+英雄山路市建材局宿舍+带储物间+诚意卖+好房,3室1厅,90.94平米,10117,92.0,2,10天以前发布,https://jn.lianjia.com/ershoufang/103129797028.html
经四路万达北 聚贤新区 电梯房,2室1厅,57.25平米,12577,72.0,0,7天以前发布,https://jn.lianjia.com/ershoufang/103129836194.html
一楼大三室，精装修带地下室  出行方便 有地铁,3室2厅,150.74平米,12804,193.0,0,11天以前发布,https://jn.lianjia.com/ershoufang/103129770671.html
经五路教育集团，方正好用小三居，万科物业,3室1厅,95.92平米,17202,165.0,0,8天以前发布,https://jn.lianjia.com/ershoufang/103129814358.html
卧龙二区 好房急售 好楼层 好位置 有车地,3室2厅,116.53平米,24029,280.0,0,7天以前发布,https://jn.lianjia.com/ershoufang/103129840585.html
全明南向户型 诚心出售 精装修 拎包入住,3室2厅,117.37平米,12269,144.0,0,11天以前发布,https://jn.lianjia.com/ershoufang/103129774422.html
中间楼层，采光良好，视野开阔，停车出行配套成熟,2室2厅,92.29平米,10402,96.0,0,5天以前发布,https://jn.lianjia.com/ershoufang/103129867295.html
三室 满五唯一 精装修 有25平露台,3室1厅,72.9平米,16461,120.0,0,4天以前发布,https://jn.lianjia.com/ershoufang/103129880988.html
东都尚城  精装两室  总价低 公摊小 好楼层 诚心出售,2室2厅,86.64平米,12235,106.0,1,4天以前发布,https://jn.lianjia.com/ershoufang/103129888552.html
山医宿舍 3室0厅 北 南,3室0厅,71.86平米,24353,175.0,0,3天以前发布,https://jn.lianjia.com/ershoufang/103129910904.html
经十路地铁口奥体旁！万科精装三室！着急卖！免双税,3室2厅,95.24平米,23940,228.0,0,8天以前发布,https://jn.lianjia.com/ershoufang/103129817199.html
：此房通透好，房子比较新，诚意出售，不沿街,2室1厅,52.67平米,35125,185.0,0,2天以前发布,https://jn.lianjia.com/ershoufang/103129914481.html
龙湖天街 带产权车位 满五唯一 自住维护好,3室2厅,101.25平米,12840,130.0,1,9天以前发布,https://jn.lianjia.com/ershoufang/103129806682.html
经十路融创茂 保利花园 满五年 精装两室 视野开阔,2室2厅,91.86平米,11431,105.0,0,8天以前发布,https://jn.lianjia.com/ershoufang/103129820860.html
房主急售！全屋铺瓷砖，打制家具精装，有地下室采光好,3室2厅,102.05平米,12347,126.0,3,13天以前发布,https://jn.lianjia.com/ershoufang/103129734200.html
东第华府 3室1厅 南 北,3室1厅,102.03平米,8429,86.0,0,6天以前发布,https://jn.lianjia.com/ershoufang/103129854316.html
西客站好房店长急推双阳台采光充足,3室2厅,116.58平米,10294,120.0,2,4天以前发布,https://jn.lianjia.com/ershoufang/103129895064.html
新上！华皓四室，采光好，户型好,4室1厅,146.68平米,30680,450.0,1,7天以前发布,https://jn.lianjia.com/ershoufang/103129843868.html
经十路北侧，新房未住，看房方便，业主急售，可议价。,3室2厅,123.54平米,24284,300.0,0,6天以前发布,https://jn.lianjia.com/ershoufang/103129860008.html
历下区 经十路 新交付未住 采光好 视野好 诚心出售,3室2厅,144.49平米,24985,361.0,0,4天以前发布,https://jn.lianjia.com/ershoufang/103129895687.html
大阳台 采光好  精装修  拎包入住,4室2厅,126.26平米,26533,335.0,1,6天以前发布,https://jn.lianjia.com/ershoufang/103129857025.html
越秀人文社区双阳台设计，观景楼层，不沿街不靠路,4室2厅,142平米,24296,345.0,0,4天以前发布,https://jn.lianjia.com/ershoufang/103129886471.html
中间楼层  精装未住  随时看房,3室2厅,100.73平米,13800,139.0,0,4天以前发布,https://jn.lianjia.com/ershoufang/103129886881.html
此房南北卧室 双气 采光好 交通方便,2室1厅,59.65平米,9221,55.0,2,21天以前发布,https://jn.lianjia.com/ershoufang/103129586900.html
凤凰路地铁口万象新天四区凤凰楼层有证免高税南向好房,3室2厅,116.61平米,13121,153.0,0,18天以前发布,https://jn.lianjia.com/ershoufang/103129634857.html
大明湖北 一梯两户  一楼带院 已开南门 地铁口出行,3室1厅,83.91平米,12395,104.0,0,25天以前发布,https://jn.lianjia.com/ershoufang/103129499390.html
经十路地铁沿线 舜和旁  财富壹号 环境优美,3室2厅,135.27平米,16042,217.0,1,30天以前发布,https://jn.lianjia.com/ershoufang/103129419652.html
此房南北通透，房主诚心出售，看房方便，免费停车,3室2厅,125.62平米,6449,81.0,0,17天以前发布,https://jn.lianjia.com/ershoufang/103129666504.html
龙湖春江郦城 精装修 拎包入住 诚心出售,3室1厅,93.09平米,15147,141.0,0,24天以前发布,https://jn.lianjia.com/ershoufang/103129530844.html
化纤厂路小高层诚意出售，户型方正随时看房,3室2厅,142.95平米,23435,335.0,0,24天以前发布,https://jn.lianjia.com/ershoufang/103129531026.html
精装修北侧有公园视野很好！绿城物业 汉峪金谷南,3室2厅,112平米,23215,260.0,2,21天以前发布,https://jn.lianjia.com/ershoufang/103129580298.html
龙湖春江悦茗 纯毛坯 产权车位 业主急售,3室2厅,104.98平米,15241,160.0,2,20天以前发布,https://jn.lianjia.com/ershoufang/103129610721.html
明湖白鹭郡 好楼层 带地下室 诚意出售,3室1厅,99.61平米,17067,170.0,0,22天以前发布,https://jn.lianjia.com/ershoufang/103129564737.html
边户大阳台 中楼层 满二  无抵押 有钥匙 有车位,3室2厅,107.74平米,11603,125.0,1,16天以前发布,https://jn.lianjia.com/ershoufang/103129674277.html
此房无个税，满五年唯一 ，只有契税。,3室2厅,154.22平米,24511,378.0,6,16天以前发布,https://jn.lianjia.com/ershoufang/103129677355.html
好楼层，采光好，诚心出，随时看，有钥匙，带车位,3室2厅,93.28平米,13187,123.0,1,25天以前发布,https://jn.lianjia.com/ershoufang/103129505685.html
上學40米，一层一户采光好，房龄新，公摊小实用面积大,3室2厅,97.09平米,20600,200.0,6,7个月以前发布,https://jn.lianjia.com/ershoufang/103125184512.html
坐拥三山，外国语旁，花园社区，舒适度高,4室2厅,160.45平米,24619,395.0,33,一年前发布,https://jn.lianjia.com/ershoufang/103120273474.html
：：瀛园顶复视野宽阔 采光充足 配套齐全 交通便利,3室3厅,168.41平米,9442,159.0,2,2个月以前发布,https://jn.lianjia.com/ershoufang/103128423949.html
舜耕路大院传达 停车方便 双气三室 南北通透出售,3室2厅,110.64平米,21692,240.0,11,一年前发布,https://jn.lianjia.com/ershoufang/103122469511.html
梦世界华园 三室两卫 业主诚心出售,3室2厅,119.94平米,11923,143.0,3,25天以前发布,https://jn.lianjia.com/ershoufang/103129509737.html
诚心出售包含地下室，一口价，随时签约。,4室2厅,152.16平米,28260,430.0,4,29天以前发布,https://jn.lianjia.com/ershoufang/103129434392.html
房子精装修 很快免高税了 价格合适 采光好,3室2厅,98.59平米,12984,128.0,0,23天以前发布,https://jn.lianjia.com/ershoufang/103129548217.html
玉函路38号 2室1厅 南 北,2室1厅,79.16平米,11370,90.0,1,20天以前发布,https://jn.lianjia.com/ershoufang/103129606170.html
六里山南路 机关宿舍 三居室 户型方正 南北通透,3室2厅,87.58平米,14387,126.0,1,20天以前发布,https://jn.lianjia.com/ershoufang/103129602259.html
通透户型 格局好 采光充足 紧挨地铁,3室2厅,103.75平米,10507,109.0,1,20天以前发布,https://jn.lianjia.com/ershoufang/103129601119.html
印象济南旁 采光视野开阔 无遮挡 配套齐全 凤凰楼层,3室1厅,109.87平米,11378,125.0,0,17天以前发布,https://jn.lianjia.com/ershoufang/103129660672.html
鲁能物业，双地铁，有车位地下室，满二，落地窗。,3室1厅,115.52平米,13851,160.0,1,26天以前发布,https://jn.lianjia.com/ershoufang/103129486231.html
常春藤小高层两室 楼层好 有装修,2室2厅,105.27平米,6175,65.0,1,22天以前发布,https://jn.lianjia.com/ershoufang/103129566847.html
育英南上山街，省委宿舍，大院传达，24小时热水有食堂,3室2厅,110平米,30728,338.0,1,17天以前发布,https://jn.lianjia.com/ershoufang/103129668386.html
汇德公馆 精装两室 小高层 带地下室 有车位 随时看房,2室2厅,79.9平米,16897,135.0,6,30天以前发布,https://jn.lianjia.com/ershoufang/103129416742.html
观景楼层  无遮挡 证满两年 带车位 精装修 随时看房,2室2厅,101.02平米,17027,172.0,3,18天以前发布,https://jn.lianjia.com/ershoufang/103129644622.html
采光好，精装修，满五唯一，带17平地下室,2室2厅,77.72平米,10809,84.0,10,29天以前发布,https://jn.lianjia.com/ershoufang/103129432836.html
全明户型， 四面宽，满二，中间楼层，业主诚心出售,3室2厅,125.64平米,18227,229.0,0,24天以前发布,https://jn.lianjia.com/ershoufang/103129527505.html
中间楼层  不沿街不靠高架  满五唯一,2室1厅,73.92平米,13934,103.0,3,30天以前发布,https://jn.lianjia.com/ershoufang/103129422060.html
绿地城新上观景小三居  满二 有钥匙 随时看房,3室2厅,100.53平米,10943,110.0,0,16天以前发布,https://jn.lianjia.com/ershoufang/103129690076.html
南北向两居室 没有连廊 有装修无高税,2室1厅,98.28平米,11193,110.0,0,10天以前发布,https://jn.lianjia.com/ershoufang/103129786533.html
精装修 好楼层 带地下室 视野好 出行方便 生活便利,2室2厅,78.9平米,10140,80.0,0,9天以前发布,https://jn.lianjia.com/ershoufang/103129808061.html
七里堡正规两居室，满五年，有储藏室，采光充足,2室2厅,87.1平米,11482,100.0,0,30天以前发布,https://jn.lianjia.com/ershoufang/103129418719.html
满两年 带露台  视野采光无忧 保持很好 有车位,3室2厅,106.68平米,15186,162.0,4,21天以前发布,https://jn.lianjia.com/ershoufang/103129586754.html
龙湖精装20万，户型方正，楼层好，视野开阔，一望无际,3室2厅,97.17平米,15437,150.0,1,17天以前发布,https://jn.lianjia.com/ershoufang/103129662901.html
前无遮挡采光视野很好，南看千佛山，出行方便配套齐全,3室1厅,96.36平米,12350,119.0,0,29天以前发布,https://jn.lianjia.com/ershoufang/103129429610.html
K88 世茂天城 诚心出售 价格可谈 随时可看,3室2厅,106.92平米,16836,180.0,0,22天以前发布,https://jn.lianjia.com/ershoufang/103129557034.html
泉景天沅智园好房，大三室毛坯房 带地下室车位另算,3室2厅,142.41平米,29493,420.0,0,24天以前发布,https://jn.lianjia.com/ershoufang/103129532987.html
宏瑞大三室 带地下室 南北通透 出行方便 公摊小 采光,3室2厅,132.09平米,11735,155.0,1,29天以前发布,https://jn.lianjia.com/ershoufang/103129426781.html
精装婚房，十楼，全明户型，带产权地下室,3室1厅,91.2平米,15680,143.0,1,27天以前发布,https://jn.lianjia.com/ershoufang/103129461066.html
鲁能二期三居室 全天采光观景楼层 近地铁 免高税,3室2厅,108.72平米,13062,142.0,0,24天以前发布,https://jn.lianjia.com/ershoufang/103129518859.html
山景房+绿城物业 +全屋精装修+全天采光+品质小区,3室1厅,123.43平米,36863,455.0,4,22天以前发布,https://jn.lianjia.com/ershoufang/103129559498.html
和谐南汇统花园，南北，带电梯，精装修，带车位地下室,4室2厅,166.67平米,16800,280.0,3,20天以前发布,https://jn.lianjia.com/ershoufang/103129603650.html
房子户型方正，南北通透，楼层好，采光好，精装修。,2室2厅,101.17平米,11664,118.0,1,26天以前发布,https://jn.lianjia.com/ershoufang/103129484675.html
中间楼层，采光无遮挡！精装三室！业主诚售！随时看房,3室2厅,106.75平米,16207,173.0,0,17天以前发布,https://jn.lianjia.com/ershoufang/103129669326.html
此房满两年免高税 户型方正 全明户型 房主诚意出售,2室2厅,90.61平米,10926,99.0,1,29天以前发布,https://jn.lianjia.com/ershoufang/103129436866.html
路劲东城二期，精装修中间楼层 三室两厅两卫，,3室2厅,99.05平米,16962,168.0,2,20天以前发布,https://jn.lianjia.com/ershoufang/103129598097.html
工业南路，理想新城，精装修两年，带地下车位！,3室1厅,123.89平米,17435,216.0,3,19天以前发布,https://jn.lianjia.com/ershoufang/103129628350.html
精装修 南北通透 带25平地下室 可贷款 采光充足,3室1厅,106.47平米,16437,175.0,2,13天以前发布,https://jn.lianjia.com/ershoufang/103129737730.html
堤口路 大润发 双气 单位宿舍 中间楼层,2室1厅,63.62平米,10375,66.0,3,11天以前发布,https://jn.lianjia.com/ershoufang/103129770607.html
不临路！双卫生间！边户！精装干净！有车位和地下室！,3室2厅,106.66平米,11251,120.0,0,8天以前发布,https://jn.lianjia.com/ershoufang/103129814823.html
绿地城一期 楼层好全天采光 精装修小高 带16平地下室,3室1厅,96.39平米,14525,140.0,2,10天以前发布,https://jn.lianjia.com/ershoufang/103129797535.html
山师宿舍+户型好用+大院好停车+好出租,2室1厅,79.06平米,25298,200.0,1,6天以前发布,https://jn.lianjia.com/ershoufang/103129850317.html
急售 业主已换房 精装修 固定家具留下 带独立餐厅,3室1厅,109.49平米,14157,155.0,0,6天以前发布,https://jn.lianjia.com/ershoufang/103129850801.html
中铁逸都 诚意出售三居室 产权清晰带地下室看房方便,3室2厅,120.95平米,15709,190.0,6,9天以前发布,https://jn.lianjia.com/ershoufang/103129801821.html
房子落地窗，带租赁车位，南北通透，户型好，公摊小，,3室2厅,108.26平米,16258,176.0,3,12天以前发布,https://jn.lianjia.com/ershoufang/103129751146.html
精装修，中间楼层，采光无遮挡，带25平产权地下室,3室2厅,107.42平米,11637,125.0,1,10天以前发布,https://jn.lianjia.com/ershoufang/103129793476.html
精装修 中楼层 采光好 带地下室 价格可以商量,2室2厅,84.67平米,12756,108.0,0,13天以前发布,https://jn.lianjia.com/ershoufang/103129743671.html
文化西路 停车方便 采光充足 经十路,3室1厅,88.58平米,31610,280.0,2,6天以前发布,https://jn.lianjia.com/ershoufang/103129860774.html
带装修，两卫户型，不沿街，好楼层！南北通透！,3室2厅,117.17平米,13400,157.0,0,11天以前发布,https://jn.lianjia.com/ershoufang/103129777930.html
此房房主着急出售 随时可约产权明晰好采光无遮挡.,3室2厅,116.91平米,15482,181.0,1,10天以前发布,https://jn.lianjia.com/ershoufang/103129791566.html
南向全明户型 采光好 无遮档 电梯两室一厅 近英雄山,1室1厅,59.36平米,20216,120.0,0,11天以前发布,https://jn.lianjia.com/ershoufang/103129780453.html
房产证满五年，小区位置好，采光充足，带露台,2室2厅,84.6平米,14067,119.0,1,7天以前发布,https://jn.lianjia.com/ershoufang/103129831192.html
高档品质小区 封闭式物业管理 小区楼间距大 舒适度高,5室2厅,268.27平米,14538,390.0,7,3个月以前发布,https://jn.lianjia.com/ershoufang/103128178487.html
次顶，小区中间位置，随时可看，有钥匙，满二过户,3室2厅,113.05平米,13711,155.0,1,7天以前发布,https://jn.lianjia.com/ershoufang/103129835819.html
历下区 精装修 两室  南北通透 业主急售,2室2厅,130.57平米,19071,249.0,2,5天以前发布,https://jn.lianjia.com/ershoufang/103129866506.html
国熙台二期 新房未住 高楼层 视野好阳光好 经典三室,3室2厅,141.7平米,33169,470.0,3,6天以前发布,https://jn.lianjia.com/ershoufang/103129845569.html
历下区纯新房精装未住小高层采光好四室三卫,4室2厅,226.66平米,23825,540.0,1,5天以前发布,https://jn.lianjia.com/ershoufang/103129867106.html
铂悦府精装三室，好位置，带3M软水，,3室2厅,160.49平米,20251,325.0,0,5天以前发布,https://jn.lianjia.com/ershoufang/103129866598.html
历下区纯新房精装未住小高层采光好三室两卫,3室2厅,177.42平米,20291,360.0,0,5天以前发布,https://jn.lianjia.com/ershoufang/103129867077.html
业主诚心出售 精 装修 采 光好,3室2厅,161.48平米,25391,410.0,0,5天以前发布,https://jn.lianjia.com/ershoufang/103129866567.html
历下区纯新房精装未住小高层采光好四室三卫,4室1厅,185.54平米,26679,495.0,0,5天以前发布,https://jn.lianjia.com/ershoufang/103129866993.html
高档小区 视野好房 226平 一户两电梯 四室改善,4室2厅,226.66平米,22942,520.0,2,5天以前发布,https://jn.lianjia.com/ershoufang/103129866638.html
历下区纯新房精装未住小高层采光好四室三卫,4室2厅,185.54平米,25601,475.0,0,5天以前发布,https://jn.lianjia.com/ershoufang/103129866951.html
历下区纯新房精装未住小高层采光好四室三卫,4室2厅,185.54平米,28027,520.0,0,5天以前发布,https://jn.lianjia.com/ershoufang/103129866420.html
双地铁R1+R2线，落地窗，大型成熟社区，单价总价低,2室2厅,89.61平米,8928,80.0,3,13天以前发布,https://jn.lianjia.com/ershoufang/103129726335.html
双气 带地下室 两室朝阳 一梯两户 采光充足,2室2厅,88.3平米,10193,90.0,1,14天以前发布,https://jn.lianjia.com/ershoufang/103129712799.html
中海国际社区三居室中间楼层 精装 有产权车位,3室2厅,113.51平米,21673,246.0,1,10天以前发布,https://jn.lianjia.com/ershoufang/103129797527.html
中铁一期低楼层紧凑两居有车位不临街交通便利,2室1厅,79.37平米,16128,128.0,1,9天以前发布,https://jn.lianjia.com/ershoufang/103129798999.html
正规一室一厅+南北通透+视野敞亮,1室1厅,48.99平米,9002,44.1,1,12天以前发布,https://jn.lianjia.com/ershoufang/103129752144.html
精装三室 有车位地下室 次新房 无抵押 随时上学,3室2厅,134.93平米,28089,379.0,0,16天以前发布,https://jn.lianjia.com/ershoufang/103129686531.html
历下区高新万达东 低总价2室 诚意出售,2室1厅,61.82平米,9221,57.0,0,12天以前发布,https://jn.lianjia.com/ershoufang/103129746806.html
市中区中海国际社区洋房片区精装修三居室南北通透,3室2厅,98.27平米,21167,208.0,0,8天以前发布,https://jn.lianjia.com/ershoufang/103129813226.html
春元里 经五路 两室一厅全明户型 通透急售,2室1厅,64.94平米,24639,160.0,0,5天以前发布,https://jn.lianjia.com/ershoufang/103129879562.html
建行宿舍 大院 停车方便 楼层好 精装,4室2厅,137平米,29928,410.0,0,14天以前发布,https://jn.lianjia.com/ershoufang/103129716491.html
大润发旁两室低总价诚意出售带地下室,2室1厅,78.52平米,11717,92.0,0,12天以前发布,https://jn.lianjia.com/ershoufang/103129757454.html
建设路78号 中间好楼层 南北通透 客厅带窗,3室1厅,59.7平米,10386,62.0,1,11天以前发布,https://jn.lianjia.com/ershoufang/103129776404.html
路劲东城一期 急售 南向不吵 一周必卖好楼层精装修,2室2厅,83.01平米,13493,112.0,3,10天以前发布,https://jn.lianjia.com/ershoufang/103129789227.html
三室两卫双阳台，精装修全天采光，不沿街不靠路,3室1厅,128.5平米,14008,180.0,0,12天以前发布,https://jn.lianjia.com/ershoufang/103129745999.html
